data,arquivo,video_codec,audio_codec,status,mensagem
2026-01-28 09:15:33,01001  - Paralamas Do Sucesso - A Lhe Esperar.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:34,01002  - Aviões Do Forro - Agora Chora - Com Banda Calypso.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:34,01003  - Asa De Aguia - Alem Mar - Com Ivete Sangalo.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:34,01004  - Fresno - Alguem Que Te Faz Sorrir.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:34,01005  - Eduardo Costa - Amigo - Com Amado Batista.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:34,01006  - Ivete Sangalo - Cadê Dalila.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:34,01007  - Ivete Sangalo - Dengo De Amor.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:34,01008  - Asa De Aguia - Dia Do Asa.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:34,01009  - Asa De Aguia - Farrauê.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:34,01010  - Chiclete Com Banana - Flutuar.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:35,01011  - Edson E Hudson - Imprevisivel - Com Bruno E Marrone.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:35,01012  - Banda Calypso - Maquina Do Tempo.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:35,01013  - Tony Garrido - Me Libertei.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:35,01014  - Eduardo Costa - Melhor Ou Pior.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:35,01015  - Moacyr Franco - Milagre Da Flecha.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:35,01016  - Hugo E Tiago - Misteriosa.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:35,01017  - Guilherme E Santiago - O Amor E Assim.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:35,01018  - Zeze Di Camargo E Luciano - O Que Vai Ser De Nos.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:36,01019  - Armandinho - Outra Vida.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:36,01020 - Pancadao Ou Sertanejo - Com Andre E Adriano - Latino.MP4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:36,01021  - Cesar Menotti E Fabiano - Para De Chorar.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:36,01022  - Skank - Para-raio.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:36,01023  - Belo - Perfume.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:36,01024  - Jake - Po Para Com Po.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:36,01025  - Jammil E Uma Noites - Saudade Doi.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:36,01026  - Luiz Claudio E Giuliano - Seu Jardineiro margarida.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:37,01027  - Daniela Mercury - Sol Do Sul.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:37,01028  - Banda Eva - Toda Linda.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:37,01029  - Jota Quest - Vem Andar Comigo.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:37,01030  - Banda Calypso - Viagem Louca.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:37,01031  - Lucinha Lins - A Bailarina.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:37,01032  - Simone - A Bicicleta.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:37,01033  - Boca Livre - A Casa.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:37,01034  - Pedagogica - Ado-le-ta.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:38,01035  - Xuxa - Arco-iris.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:38,01036  - A Turma Do Balao Magico - Atirei O Pau No Gato.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:38,01037  - A Turma Do Balao Magico - Baile Dos Passarinhos.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:38,01038  - Os Saltimbancos - Bicharia.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:38,01039  - Fourteen Bis - Bola De Meia Bola De Gude.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:38,01040  - Pedagogica - Cai Cai Balao.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:38,01041  - Raul Seixas - Carimbador Maluco.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:38,01042  - Pedagogica - Coelhinhos De Olhos Vermelhos.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:38,01043  - Chiquititas - Coracao Com Burquinhos.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:39,01044  - Jairzinho - Coracao De Papelao.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:39,01045  - Eliana - Dedinhos remix.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:39,01046  - A Turma Do Balao Magico - Dia Dos Pais.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:39,01047  - Sandy E Junior - Dig Dig Joy.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:39,01048  - Mulekada - Foi De Brincadeira.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:39,01049  - Pedagogica - Fui Morar Numa Casinha.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:39,01050  - Os Saltimbancos - Historia De Uma Gata.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:39,01051  - Pedagogica - Meu Lanchinho.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:39,01052  - Pedagogica - Meu Pintinho Amarelinho.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:40,01053  - Xuxa - Milagre Da Vida.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:40,01054  - Chico Buarque - O Caderno.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:40,01055  - Mpb4 - O Pato.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:40,01056  - Pedagogica - O Sapo Nao Lava O Pe.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:40,01057  - Infantil - O Sapo Ua Qua Qua.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:40,01058  - Pedagogica - O Sitio Do Seu Lobato.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:40,01060  - Xuxa - Parabens Da Xuxa.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:40,01061  - Pedagogica - Pirulito Que Bate Bate.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:41,01062  - Pedagogica - Piui Piui Piui.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:41,01063  - Helio Ziskind - Ratinho Tomando Banho.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:41,01064  - Folclore - Samba Lelê.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:41,01065  - Ney Matogrosso - Sao Francisco.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:41,01066  - A Turma Do Balao Magico - Superfantastico.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:41,01067  - Jana Bianchi - Tema De Pokemom.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:41,"01068  - A Turma Do Balao Magico - Um, Dois, Três Indiozinhos.mp4",h264,aac,PULADO,Já compatível
2026-01-28 09:15:41,01069  - A Turma Do Balao Magico - Ursinho Pimpao mi Osito Pelon.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:42,01070  - Sandy E Junior - Vai Ter Que Rebolar.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:42,01071  - Musical San Francisco - Atenda O Telefone.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:42,01072  - Jeito Moleque - Coracao Aberto.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:42,01073  - Alexandre Pires - Dessa Vez Eu Me Rendo.mp4,h264,aac,PULADO,Já compatível
2026-01-28 09:15:42,01074  - Cheiro De Amor - Dias De Sol.mp4,h264,aac,PULADO,Já compatível
